😀	grinning
😃	smiley
😄	smile
😁	grin
😆	laughing
😅	sweat_smile
🤣	rofl
😂	joy
🙂	slightly_smiling_face
🙃	upside_down_face
😉	wink
😊	blush
😇	innocent
🥰	smiling_face_with_three_hearts
😍	heart_eyes
🤩	star_struck
😘	kissing_heart
😗	kissing
☺️	relaxed
😚	kissing_closed_eyes
😙	kissing_smiling_eyes
🥲	smiling_face_with_tear
😋	yum
😛	stuck_out_tongue
😜	stuck_out_tongue_winking_eye
🤪	zany_face
😝	stuck_out_tongue_closed_eyes
🤑	money_mouth_face
🤗	hugs
🤭	hand_over_mouth
🤫	shushing_face
🤔	thinking
🤐	zipper_mouth_face
🤨	raised_eyebrow
😐	neutral_face
😑	expressionless
😶	no_mouth
😶‍🌫️	face_in_clouds
😏	smirk
😒	unamused
🙄	roll_eyes
😬	grimacing
😮‍💨	face_exhaling
🤥	lying_face
😌	relieved
😔	pensive
😪	sleepy
🤤	drooling_face
😴	sleeping
😷	mask
🤒	face_with_thermometer
🤕	face_with_head_bandage
🤢	nauseated_face
🤧	sneezing_face
🥵	hot_face
🥶	cold_face
🥴	woozy_face
😵	dizzy_face
😵‍💫	face_with_spiral_eyes
🤯	exploding_head
🤠	cowboy_hat_face
🥳	partying_face
🥸	disguised_face
😎	sunglasses
🤓	nerd_face
🧐	monocle_face
😕	confused
😟	worried
🙁	slightly_frowning_face
☹️	frowning_face
😮	open_mouth
😯	hushed
😲	astonished
😳	flushed
🥺	pleading_face
😦	frowning
😧	anguished
😨	fearful
😰	cold_sweat
😥	disappointed_relieved
😢	cry
😭	sob
😱	scream
😖	confounded
😣	persevere
😞	disappointed
😓	sweat
😩	weary
😫	tired_face
🥱	yawning_face
😤	triumph
😡	rage
😠	angry
🤬	cursing_face
😈	smiling_imp
👿	imp
💀	skull
☠️	skull_crossbones
💩	poop
🤡	clown_face
👹	japanese_ogre
👺	japanese_goblin
👻	ghost
👽	alien
👾	space_invader
🤖	robot
😺	smiley_cat
😸	smile_cat
😹	joy_cat
😻	heart_eyes_cat
😼	smirk_cat
😽	kissing_cat
🙀	scream_cat
😿	crying_cat_face
😾	pouting_cat
🙈	see_no_evil
🙉	hear_no_evil
🙊	speak_no_evil
💋	kiss
👋	wave
🤚	raised_back_of_hand
🖐️	raised_hand_with_fingers_splayed
✋	raised_hand
🖖	vulcan_salute
👌	ok_hand
🤌	pinched_fingers
🤏	pinching_hand
✌️	v
🤞	crossed_fingers
🤟	love_you_gesture
🤘	metal
🤙	call_me_hand
👈	point_left
👉	point_right
👆	point_up_2
🖕	middle_finger
👇	point_down
☝️	point_up
👍	thumbsup
👎	thumbsdown
✊	fist
👊	facepunch
🤛	left_facing_fist
🤜	right_facing_fist
👏	clap
🙌	raised_hands
👐	open_hands
🤲	palms_up_together
🙏	pray
✍️	writing_hand
💅	nail_care
🤳	selfie
💪	muscle
🦾	mechanical_arm
🦿	mechanical_leg
🦵	leg
🦶	foot
👂	ear
🦻	ear_with_hearing_aid
👃	nose
🧠	brain
🫀	anatomical_heart
🫁	lungs
🦷	tooth
🦴	bone
👀	eyes
👁️	eye
👅	tongue
👄	lips
🫦	biting_lip
👶	baby
🧒	child
👦	boy
👧	girl
🧑	person
👱	blond_haired_person
👨	man
🧔	bearded_person
👩	woman
🧓	older_person
👴	older_man
👵	older_woman
🙍	person_frowning
🙎	person_pouting
🙅	no_good
🙆	ok_person
💁	information_desk_person
🙋	raising_hand
🧏	deaf_person
🙇	bow
🤦	facepalm
🤷	shrug
💆	massage
💇	haircut
🚶	walking
🧍	standing_person
🧎	kneeling_person
🏃	runner
💃	dancer
🕺	man_dancing
👯	people_with_bunny_ears_partying
🧖	person_in_steamy_room
🧗	climbing
⛷️	skier
🏂	snowboarder
🤺	fencer
🏋️	weight_lifter
🤼	wrestlers
🤸	cartwheel
🏄	surfer
🏊	swimmer
🚴	bicyclist
🏇	horse_racing
🤾	handball
🏌️	golfer
🤽	water_polo
🏆	trophy
🥇	first_place_medal
🥈	second_place_medal
🥉	third_place_medal
🏅	medal_sports
🎖️	medal_military
🎗️	reminder_ribbon
🎫	ticket
🎟️	tickets
🎪	circus_tent
🤹	juggling
🎭	performing_arts
🎨	art
🎬	clapper
🎤	microphone
🎧	headphones
🎼	musical_score
🎵	musical_note
🎶	notes
🎷	saxophone
🎸	guitar
🎹	musical_keyboard
🎺	trumpet
🎻	violin
🥁	drum
🪘	long_drum
🎲	game_die
♟️	chess_pawn
🎯	dart
🎳	bowling
🎮	video_game
🕹️	joystick
🧩	jigsaw
🧸	teddy_bear
🪆	nesting_dolls
🪅	pinata
👓	eyeglasses
🕶️	dark_sunglasses
🥽	goggles
🦺	safety_vest
👔	necktie
👕	shirt
👖	jeans
🧣	scarf
🧤	gloves
🧥	coat
🧦	socks
👗	dress
👘	kimono
🥻	sari
👙	bikini
👚	womans_clothes
👛	purse
👜	handbag
👝	pouch
🎒	school_satchel
🧳	luggage
👒	hat
🎩	tophat
🎓	mortar_board
⛑️	rescue_worker_helmet
💄	lipstick
💍	ring
💎	gem
🔇	mute
🔈	sound
🔉	speaker
🔊	loud_sound
📢	mega
📣	loudspeaker
📯	postal_horn
🔔	bell
🔕	no_bell
📻	radio
🎙️	studio_microphone
📱	iphone
☎️	phone
📞	telephone_receiver
📟	pager
📠	fax
🔋	battery
🔌	electric_plug
💻	computer
🖥️	desktop_computer
🖨️	printer
⌨️	keyboard
🖱️	computer_mouse
💽	minidisc
💾	floppy_disk
💿	cd
📀	dvd
🧮	abacus
🎥	movie_camera
📺	tv
📷	camera
📸	camera_flash
📹	video_camera
📼	vhs
🔍	mag
🔎	mag_right
🕯️	candle
💡	bulb
🔦	flashlight
🏮	izakaya_lantern
📔	notebook_with_decorative_cover
📕	closed_book
📖	book
📗	green_book
📘	blue_book
📙	orange_book
📚	books
📓	notebook
📒	ledger
📃	page_with_curl
📄	page_facing_up
📑	bookmark_tabs
🔖	bookmark
🏷️	label
💰	moneybag
💴	yen
💵	dollar
💶	euro
💷	pound
💸	money_with_wings
💳	credit_card
🧾	receipt
✉️	email
📧	e-mail
📨	incoming_envelope
📩	envelope_with_arrow
📤	outbox_tray
📥	inbox_tray
📦	package
📫	mailbox
📪	mailbox_closed
📬	mailbox_with_mail
📭	mailbox_with_no_mail
📮	postbox
✏️	pencil2
✒️	black_nib
🖋️	fountain_pen
🖊️	pen
🖌️	paintbrush
🖍️	crayon
📝	memo
💼	briefcase
📁	file_folder
📂	open_file_folder
🗂️	card_index_dividers
📅	date
📆	calendar
🗒️	spiral_notepad
🗓️	spiral_calendar
📇	card_index
📈	chart_with_upwards_trend
📉	chart_with_downwards_trend
📊	bar_chart
📋	clipboard
🗃️	card_file_box
🗄️	file_cabinet
🗑️	wastebasket
🔒	lock
🔓	unlock
🔏	lock_with_ink_pen
🔐	closed_lock_with_key
🔑	key
🗝️	old_key
🔨	hammer
🪓	axe
⛏️	pick
⚒️	hammer_and_pick
🛠️	hammer_and_wrench
🔧	wrench
🪛	screwdriver
🔩	nut_and_bolt
⚙️	gear
⚖️	scales
🔗	link
🧲	magnet
🪜	ladder
🧪	test_tube
🧫	petri_dish
🧬	dna
🔬	microscope
🔭	telescope
📡	satellite
💉	syringe
💊	pill
🩹	adhesive_bandage
🩺	stethoscope
🚪	door
🪞	mirror
🪟	window
🛏️	bed
🛋️	couch_and_lamp
🪑	chair
🚽	toilet
🚿	shower
🛁	bathtub
🧴	lotion_bottle
🧷	safety_pin
🧹	broom
🧺	basket
🧻	roll_of_paper
🪣	bucket
🧼	soap
🧽	sponge
🪥	toothbrush
🧯	fire_extinguisher
🛒	shopping_cart
🗺️	world_map
🧭	compass
🏔️	mountain_snow
⛰️	mountain
🌋	volcano
🗻	mount_fuji
🏕️	camping
🏖️	beach_with_umbrella
🏜️	desert
🏝️	desert_island
🏞️	national_park
🏟️	stadium
🏛️	classical_building
🏗️	building_construction
🧱	bricks
🏠	house
🏡	house_with_garden
🏢	office
🏣	post_office
🏤	european_post_office
🏥	hospital
🏦	bank
🏨	hotel
🏩	love_hotel
🏪	convenience_store
🏫	school
🏬	department_store
🏭	factory
🏯	japanese_castle
🏰	european_castle
💒	wedding
🗼	tokyo_tower
🗽	statue_of_liberty
⛪	church
🕌	mosque
🕍	synagogue
⛩️	shinto_shrine
🕋	kaaba
⛲	fountain
⛺	tent
🌁	foggy
🌃	night_with_stars
🏙️	cityscape
🌄	sunrise_over_mountains
🌅	sunrise
🌆	city_sunrise
🌇	city_sunset
🌉	bridge_at_night
🎠	carousel_horse
🎡	ferris_wheel
🎢	roller_coaster
💈	barber
🚂	steam_locomotive
🚃	railway_car
🚄	bullettrain_side
🚅	bullettrain_front
🚆	train2
🚇	metro
🚈	light_rail
🚉	station
🚊	tram
🚝	monorail
🚞	mountain_railway
🚋	train
🚌	bus
🚍	oncoming_bus
🚎	trolleybus
🚐	minibus
🚑	ambulance
🚒	fire_engine
🚓	police_car
🚔	oncoming_police_car
🚕	taxi
🚖	oncoming_taxi
🚗	car
🚘	oncoming_automobile
🚙	blue_car
🛻	pickup_truck
🚚	truck
🚛	articulated_lorry
🚜	tractor
🏎️	racing_car
🏍️	motorcycle
🛵	motor_scooter
🚲	bike
🛴	kick_scooter
🛹	skateboard
🛼	roller_skate
🚏	busstop
⛽	fuelpump
🚨	rotating_light
🚥	traffic_light
🚦	vertical_traffic_light
🛑	octagonal_sign
🚧	construction
⚓	anchor
⛵	sailboat
🚤	speedboat
🛥️	motor_boat
🚢	ship
✈️	airplane
🛩️	small_airplane
🛫	airplane_departure
🛬	airplane_arriving
🪂	parachute
💺	seat
🚁	helicopter
🚟	suspension_railway
🚠	mountain_cableway
🚡	aerial_tramway
🛰️	artificial_satellite
🚀	rocket
🛸	flying_saucer
🪐	ringed_planet
🌍	earth_africa
🌎	earth_americas
🌏	earth_asia
🌐	globe_with_meridians
🌑	new_moon
🌒	waxing_crescent_moon
🌓	first_quarter_moon
🌔	waxing_gibbous_moon
🌕	full_moon
🌖	waning_gibbous_moon
🌗	last_quarter_moon
🌘	waning_crescent_moon
🌙	crescent_moon
🌚	new_moon_with_face
🌛	first_quarter_moon_with_face
🌜	last_quarter_moon_with_face
🌝	full_moon_with_face
🌞	sun_with_face
🌟	star2
💫	dizzy
✨	sparkles
🌠	stars
⭐	star
☀️	sunny
🌤️	sun_behind_small_cloud
⛅	partly_sunny
🌥️	sun_behind_large_cloud
🌦️	sun_behind_rain_cloud
🌧️	cloud_with_rain
⛈️	thunder_cloud_and_rain
🌩️	cloud_with_lightning
🌪️	tornado
🌫️	fog
🌬️	wind_face
🌀	cyclone
🌈	rainbow
🌂	closed_umbrella
☂️	umbrella
❄️	snowflake
☃️	snowman
⛄	snowman_without_snow
⚡	zap
🔥	fire
💧	droplet
🌊	ocean
☄️	comet
🌾	ear_of_rice
🍀	four_leaf_clover
🌿	herb
☘️	shamrock
🍃	leaves
🍂	fallen_leaf
🍁	maple_leaf
🌵	cactus
🎋	tanabata_tree
🎍	bamboo
🌲	evergreen_tree
🌳	deciduous_tree
🌴	palm_tree
🌱	seedling
🌻	sunflower
🌷	tulip
🌹	rose
🥀	wilted_flower
🌺	hibiscus
🌸	cherry_blossom
🌼	blossom
💐	bouquet
🍄	mushroom
🌰	chestnut
🦔	hedgehog
🦡	badger
🦦	otter
🦥	sloth
🦨	skunk
🦘	kangaroo
🦙	llama
🦬	bison
🐃	water_buffalo
🐂	ox
🐄	cow2
🐎	racehorse
🐖	pig2
🐏	ram
🐑	sheep
🐐	goat
🦌	deer
🐕	dog2
🐩	poodle
🦮	guide_dog
🐈	cat2
🐈‍⬛	black_cat
🐓	rooster
🦃	turkey
🦤	dodo
🦚	peacock
🦜	parrot
🦩	flamingo
🦢	swan
🦉	owl
🦅	eagle
🦆	duck
🐧	penguin
🐦	bird
🐤	baby_chick
🐣	hatching_chick
🐥	hatched_chick
🦋	butterfly
🐛	bug
🐌	snail
🐞	beetle
🐜	ant
🦟	mosquito
🦗	cricket
🕷️	spider
🦂	scorpion
🐢	turtle
🐍	snake
🦎	lizard
🐊	crocodile
🦕	sauropod
🦖	t-rex
🐸	frog
🐡	blowfish
🐠	tropical_fish
🐟	fish
🐬	dolphin
🐳	whale
🐋	whale2
🦈	shark
🦭	seal
🐙	octopus
🦑	squid
🦐	shrimp
🦞	lobster
🦀	crab
🐚	shell
🐾	paw_prints
🐉	dragon
🐲	dragon_face
🌵	cactus
🎄	christmas_tree
🎆	fireworks
🎇	sparkler
🧨	firecracker
✨	sparkles
🎉	tada
🎊	confetti_ball
🎋	tanabata_tree
🎍	bamboo
🎎	dolls
🎏	flags
🎐	wind_chime
🎑	rice_scene
🧧	red_envelope
🎀	ribbon
🎁	gift
🎗️	reminder_ribbon
🎟️	tickets
🎫	ticket
🏆	trophy
🥇	first_place_medal
🥈	second_place_medal
🥉	third_place_medal
⚽	soccer
🏀	basketball
🏈	football
⚾	baseball
🥎	softball
🎾	tennis
🏐	volleyball
🏉	rugby_football
🥏	flying_disc
🎱	8ball
🏓	ping_pong
🏸	badminton
🥊	boxing_glove
🥋	martial_arts_uniform
🥅	goal_net
⛳	golf
🎣	fishing_pole_and_fish
🤿	diving_mask
🎽	running_shirt_with_sash
🎿	ski
🛷	sled
🥌	curling_stone
🍏	green_apple
🍎	apple
🍐	pear
🍊	tangerine
🍋	lemon
🍌	banana
